hardboil,softboil,shell,lid,stove,taste_hb,remove_hb,taste_sb,remove_sb,grad_st
9.8331848569999991,5.475352487,brown,uncovered,gas,3,4,4,1,3
10.43394905,6.94837444,brown,uncovered,electric,5,4,3,3,4
14.9639113,6.58927387,brown,uncovered,gas,3,4,2,4,8
10.78803515,5.578978674,brown,uncovered,gas,5,2,2,4,8
9.100281497,6.276155757,brown,uncovered,electric,4,4,4,4,2
7.798646508,7.536628612,white,covered,gas,2,3,5,3,10
9.208835636,7.774264035,white,uncovered,electric,4,1,3,2,6
7.2352404870000004,5.697502355,white,covered,gas,4,2,3,3,1
9.980558811,6.47533559,white,uncovered,electric,2,1,3,2,4
10.52590298,7.037353538,brown,uncovered,gas,3,1,3,5,3
11.48007528,7.057352953,brown,covered,gas,2,2,2,2,6
10.74847187,7.788745641,brown,uncovered,electric,1,3,3,4,10
12.62496185,7.069052055,white,uncovered,gas,5,5,4,4,2
9.216965812,6.976793981,brown,covered,gas,5,1,4,1,7
12.78543929,7.037367415,brown,uncovered,electric,5,3,5,2,1
9.933205543,8.133641637,white,uncovered,gas,1,2,2,1,8
9.939503474,6.647850392,white,uncovered,gas,4,3,4,5,8
9.894242363,5.276696375,brown,uncovered,electric,1,2,1,3,2
11.11961827,4.602723485,brown,covered,electric,1,4,2,3,6
7.294689832,5.66303667,white,covered,electric,1,1,1,5,2
9.171833403,7.076990899,brown,covered,electric,5,3,4,3,6
10.81885914,8.545825723,white,uncovered,gas,3,2,3,3,4
12.25682704,5.523094896,brown,covered,electric,2,1,1,1,5
12.58361405,6.838496229,brown,covered,electric,4,1,3,5,8
11.42258081,7.826683068,white,uncovered,electric,3,4,1,2,10
9.357378422,5.35013895,brown,covered,gas,2,1,3,1,3
9.684442296,5.449720632,brown,uncovered,electric,2,5,1,4,5
12.41150735,7.204262472,brown,uncovered,gas,1,3,3,4,8
10.26608144,5.760636107,white,covered,gas,3,2,4,1,1
10.78578439,7.277743373,white,uncovered,gas,5,4,3,3,3
12.64581562,6.505732702,brown,uncovered,electric,4,3,1,5,4
8.139573301,5.841723254,white,covered,gas,2,1,4,4,4
9.873170679,5.974094589,brown,covered,electric,5,3,2,4,1
10.13645328,6.799264165,white,uncovered,electric,1,5,5,5,3
11.69334819,6.24165953,brown,uncovered,electric,5,1,5,2,8
9.934759907,6.681997907,brown,covered,gas,3,3,2,4,7
9.313699128,5.034271877,white,covered,electric,3,2,5,2,5
9.222917984,6.18177325,white,uncovered,electric,3,2,4,3,6
9.370498066,7.198960751,brown,covered,electric,4,2,2,2,5
10.11565543,6.978465101,brown,uncovered,gas,1,5,4,3,2
10.134988,7.314422077,brown,uncovered,electric,5,2,3,1,1
9.393417559,5.710477461,brown,covered,gas,3,1,3,1,10
9.793922381,6.426610355,white,covered,gas,5,3,2,5,10
8.987449124,8.238360612,white,uncovered,gas,2,4,2,5,3
8.759299391,6.751750964,brown,covered,gas,5,4,2,2,5
9.623501195,5.966473649,white,covered,gas,1,3,2,3,3
9.913443746,5.043208943,brown,covered,electric,5,3,3,4,5
10.56640427,5.594154597,brown,covered,gas,3,3,4,3,8
8.152302964,4.167735577,white,covered,gas,5,2,2,3,10
11.61166724,6.90760566,brown,covered,electric,5,4,2,1,1
12.45136023,5.429458129,brown,uncovered,electric,3,5,5,5,6
8.566385311,5.506508471,white,uncovered,gas,3,5,1,2,3
9.810874268,5.902860199,brown,uncovered,gas,2,3,2,1,2
11.1055219,8.102909886,brown,uncovered,gas,3,1,5,5,5
12.82581582,8.174693659,white,covered,gas,2,3,4,1,10
8.73988265,7.102368239,white,uncovered,gas,5,3,3,3,9
